H_mm,P_mbar,Tneedle_C,Tres_C,Tsurf_C,Dd_m,U_m_s,We,Ja,Dmaxb_m,Dmaxf_m,tmaxb_s,tmaxf_s,sourceb,sourcef,startframe,impactframe,endframe
0,565,19.6,20,23.9,0.001191476,2.253468988,683.1167145,0.035704225,0,0.006298885,0,0.003515625,0,20220914__N7000_N7000__12800fps_20220914_200345__N7000_N7000__12800fps_20220914_200345.tif,1,84,434
0,575,20.3,20,24.2,0.001190562,0.44467396,26.57919752,0.038450704,0,0.004403645,0,0.010234375,0,20220914__N7000_N7000__12800fps_20220914_201410__N7000_N7000__12800fps_20220914_201410.tif,1,589,939
0,576,20.1,20,23.8,0.001190308,0.445144946,26.62984012,0.034788732,0,0.009903556,0,0.011796875,0,20220914__N7000_N7000__12800fps_20220914_201608__N7000_N7000__12800fps_20220914_201608.tif,1,578,928
0,577,20.3,20,26,0.001180789,0.444354979,26.32319477,0.054929577,0,0.0043702,0,0.009609375,0,20220914__N7000_N7000__12800fps_20220914_201925__N7000_N7000__12800fps_20220914_201925.tif,1,639,989
0,579,20.2,20,25,0.001165856,0.707377244,65.86479466,0.045774648,0,0.004682357,0,0.008125,0,20220914__N7000_N7000__12800fps_20220914_202434__N7000_N7000__12800fps_20220914_202434.tif,1,303,653
0,579,20.1,20,24.4,0.00116918,0.709703722,66.48781156,0.04028169,0,0.004700937,0,0.007890625,0,20220914__N7000_N7000__12800fps_20220914_202655__N7000_N7000__12800fps_20220914_202655.tif,1,298,648
0,581,20.1,20,25.8,0.001160302,0.707703694,65.61157737,0.053098592,0,0.00599416,0,0.020078125,0,20220914__N7000_N7000__12800fps_20220914_203243__N7000_N7000__12800fps_20220914_203243.tif,1,302,652
0,581,20.4,20,26.5,0.001153374,0.949417035,117.3789903,0.059507042,0,0.004905326,0,0.0059375,0,20220914__N7000_N7000__12800fps_20220914_203514__N7000_N7000__12800fps_20220914_203514.tif,1,205,555
0,581,20.3,20,26.1,0.001153261,0.950061154,117.5268725,0.05584507,0,0.004920191,0,0.00609375,0,20220914__N7000_N7000__12800fps_20220914_203640__N7000_N7000__12800fps_20220914_203640.tif,1,206,556
0,581,20.2,20,25.6,0.001159215,0.950738416,118.3021133,0.051267606,0,0.004990798,0,0.006328125,0,20220914__N7000_N7000__12800fps_20220914_203855__N7000_N7000__12800fps_20220914_203855.tif,1,206,556
0,581,20.2,20,24.8,0.001165359,1.186514138,185.2302622,0.043943662,0,0.005488763,0,0.006015625,0,20220914__N7000_N7000__12800fps_20220914_204158__N7000_N7000__12800fps_20220914_204158.tif,1,161,511
0,581,20.1,20,24.4,0.001154072,1.182712481,182.2625449,0.04028169,0,0.005440453,0,0.0071875,0,20220914__N7000_N7000__12800fps_20220914_204346__N7000_N7000__12800fps_20220914_204346.tif,1,162,512
0,581,20.1,20,24,0.001155397,1.184953736,183.1641388,0.036619718,0,0.005455317,0,0.006171875,0,20220914__N7000_N7000__12800fps_20220914_204529__N7000_N7000__12800fps_20220914_204529.tif,1,158,508
0,581,20.1,20,23.8,0.001159347,1.408857365,259.8087447,0.034788732,0,0.005622544,0,0.005546875,0,20220914__N7000_N7000__12800fps_20220914_204719__N7000_N7000__12800fps_20220914_204719.tif,1,133,483
0,582,20.1,20,25.7,0.001141696,1.40305478,253.7499543,0.052183099,0,0.005388426,0,0.004921875,0,20220914__N7000_N7000__12800fps_20220914_204911__N7000_N7000__12800fps_20220914_204911.tif,1,135,485
0,581,20.1,20,26.2,0.001159078,1.406747414,258.9709708,0.056760563,0,0.006514422,0,0.0259375,0,20220914__N7000_N7000__12800fps_20220914_205035__N7000_N7000__12800fps_20220914_205035.tif,1,134,484
0,581,20.1,20,25.7,0.00115532,1.799534489,422.4049061,0.052183099,0,0.005797204,0,0.003828125,0,20220914__N7000_N7000__12800fps_20220914_205308__N7000_N7000__12800fps_20220914_205308.tif,1,103,453
0,582,20,20,24.5,0.00116412,1.820515961,435.6051824,0.041197183,0,0.005871527,0,0.00390625,0,20220914__N7000_N7000__12800fps_20220914_205741__N7000_N7000__12800fps_20220914_205741.tif,1,102,452
0,581,20,20,24.1,0.001144021,1.801656762,419.2610471,0.037535211,0,0.016648379,0,0.02734375,0,20220914__N7000_N7000__12800fps_20220914_210011__N7000_N7000__12800fps_20220914_210011.tif,1,102,452
0,582,20,20,23.8,0.001149175,2.146378097,597.7301513,0.034788732,0,0.006042052,0,0.004453125,0,20220914__N7000_N7000__12800fps_20220914_210228__N7000_N7000__12800fps_20220914_210228.tif,1,87,437
0,582,20,20,25.9,0.001144947,2.133192688,588.236643,0.054014085,0,0.00631215,0,0.003828125,0,20220914__N7000_N7000__12800fps_20220914_210418__N7000_N7000__12800fps_20220914_210418.tif,1,86,436
0,582,19.9,20,25.3,0.001145675,2.15977988,603.3742088,0.048521127,0,0.008672731,0,0.020234375,0,20220914__N7000_N7000__12800fps_20220914_210843__N7000_N7000__12800fps_20220914_210843.tif,1,86,436
0,583,19.9,20,24.3,0.001148605,2.384956725,737.6289524,0.039366197,0,0.006178951,0,0.003671875,0,20220914__N7000_N7000__12800fps_20220914_211223__N7000_N7000__12800fps_20220914_211223.tif,1,77,427
0,583,19.9,20,24,0.00113945,2.379365797,728.3231586,0.036619718,0,0.006204851,0,0.004140625,0,20220914__N7000_N7000__12800fps_20220914_211422__N7000_N7000__12800fps_20220914_211422.tif,1,77,427
0,582,19.9,20,23.9,0.00113251,2.36435534,714.7824683,0.035704225,0,0.011284911,0,0.006953125,0,20220914__N7000_N7000__12800fps_20220914_211644__N7000_N7000__12800fps_20220914_211644.tif,1,77,427
0,583,19.8,20,26.2,0.001142469,2.550473888,839.0590503,0.056760563,0,0.006260351,0,0.003671875,0,20220914__N7000_N7000__12800fps_20220914_211901__N7000_N7000__12800fps_20220914_211901.tif,1,71,421
0,583,19.8,20,25.9,0.001146874,2.55130825,842.8451426,0.054014085,0,0.01892535,0,0.020859375,0,20220914__N7000_N7000__12800fps_20220914_212115__N7000_N7000__12800fps_20220914_212115.tif,1,71,421
0,583,19.6,20,25.2,0.001142123,2.540637435,832.3472667,0.047605634,0,0.00628995,0,0.003203125,0,20220914__N7000_N7000__12800fps_20220914_212258__N7000_N7000__12800fps_20220914_212258.tif,1,73,423
0,552,18.9,19,19.1,0.001175568,1.813151045,436.3370668,0.000915493,0,0.006841246,0,0.005078125,0,20220915__N7000_N7000__12800fps_20220915_185202__N7000_N7000__12800fps_20220915_185202.tif,1,100,450
