H_mm,P_mbar,Tneedle_C,Tres_C,Tsurf_C,Dd_m,U_m_s,We,Ja,Dmaxb_m,Dmaxf_m,tmaxb_s,tmaxf_s,sourceb,sourcef,startframe,impactframe,endframe
1280,601,20.8,20.9,29.5,0.001292956,1.669578845,378.3613342,0.078732394,0.00677899,0.006714886,0.005078125,0.005,20221124__bottom__n7000_n7000_12800fps_20221124_172306,20221124__front__n7000_n7000_20221124_173643,1,204,554
1280,590,20.3,20.6,31.9,0.001288678,1.670993781,377.7728648,0.103450704,0.006701818,0.006627517,0.005078125,0.005,20221124__bottom__n7000_n7000_12800fps_20221124_172546,20221124__front__n7000_n7000_20221124_173929,1,208,558
1280,592,20.4,20.6,30.4,0.001287808,1.670164599,377.1309789,0.08971831,0.006695916,0.006615036,0.005703125,0.005390625,20221124__bottom__n7000_n7000_12800fps_20221124_172800,20221124__front__n7000_n7000_20221124_174152,1,205,555
1330,594,20.5,20.7,29.5,0.001251204,1.833792873,444.5584509,0.08056338,0.006629191,0.006459021,0.005234375,0.004453125,20221124__bottom__n7000_n7000_12800fps_20221124_173554,20221124__front__n7000_n7000_20221124_174720,1,182,532
1330,597,20.7,20.9,29.6,0.001297831,1.841338678,465.0535114,0.079647887,0.006836956,0.006752329,0.00484375,0.00484375,20221124__bottom__n7000_n7000_12800fps_20221124_173935,20221124__front__n7000_n7000_20221124_175324,1,189,539
1330,598,20.7,20.9,32.8,0.001297114,1.843208259,465.7691976,0.108943662,0.006803171,0.006708645,0.005078125,0.004921875,20221124__bottom__n7000_n7000_12800fps_20221124_174241,20221124__front__n7000_n7000_20221124_175620,1,185,535
1390,599,20.7,20.9,31.2,0.001287244,2.017725415,563.560101,0.094295775,0.006960916,0.006777292,0.0046875,0.00421875,20221124__bottom__n7000_n7000_12800fps_20221124_174547,20221124__front__n7000_n7000_20221124_175934,1,170,520
1390,599,20.7,21,30,0.001276638,2.040559943,571.9405968,0.082394366,0.007091826,0.006989472,0.00453125,0.003984375,20221124__bottom__n7000_n7000_12800fps_20221124_174849,20221124__front__n7000_n7000_20221124_180230,1,164,514
1390,599,20.7,21,31.6,0.001296494,2.038596227,573.025322,0.097042254,0.007059894,0.006983231,0.005078125,0.00453125,20221124__bottom__n7000_n7000_12800fps_20221124_175126,20221124__front__n7000_n7000_20221124_180514,1,171,521
1460,600,20.8,21,31.2,0.001291267,2.250249084,706.5517215,0.093380282,0.007050292,0.006927066,0.004453125,0.00375,20221124__bottom__n7000_n7000_12800fps_20221124_175709,20221124__front__n7000_n7000_20221124_181042,1,156,506
