Hmm,Pmbar,T_needleC,T_resC,T_surfC,D_d [m],U [m/s],We,Dmax_b,Dmax_f,source_b,source_f,startframe,impactframe,endframe
1390,599,20.7,20.9,31.2,0.001246899,1.965757736,543.9984415,0.007037609,0.006777274,20221124/bottom/n7000_n7000_12800fps_20221124_174547,20221124/front/n7000_n7000_20221124_175934,1,170,520
1390,599,20.7,21,30,0.001251363,1.985675904,557.0656394,0.007150145,0.006989454,20221124/bottom/n7000_n7000_12800fps_20221124_174849,20221124/front/n7000_n7000_20221124_180230,1,164,514
1390,599,20.7,21,31.6,0.001272119,1.97421611,559.7877455,0.007123268,0.006983213,20221124/bottom/n7000_n7000_12800fps_20221124_175126,20221124/front/n7000_n7000_20221124_180514,1,171,521
1460,600,20.8,21,31.2,0.001210403,-1.354382688,250.6797739,0.007130731,0.006927048,20221124/bottom/n7000_n7000_12800fps_20221124_175709,20221124/front/n7000_n7000_20221124_181042,1,156,506
1460,600,20.7,21,29.9,0.001175539,-2.0709312,569.2131167,0.007373879,0.00727028,20221124/bottom/n7000_n7000_12800fps_20221124_175937,20221124/front/n7000_n7000_20221124_181323,1,148,498
1460,588.0536116,20.12274115,20.65457447,20.91305854,0.001322237,2.214122623,731.8450583,0.007882731,0.007778118,20221125/bottom/n7000_n7000_12800fps_20221125_173604,20221125/front/n7000_n7000_20221125_174936,1,149,499
1460,588.6804236,20.19029582,20.80227722,20.91305854,0.001591658,2.222120465,887.3425134,0.008167563,0.007784365,20221125/bottom/n7000_n7000_12800fps_20221125_173831,20221125/front/n7000_n7000_20221125_175220,1,147,497
1390,590.5608598,20.29163036,20.83920392,21.02384351,0.001302125,2.012716214,595.5578908,0.012860413,0.008584043,20221125/bottom/n7000_n7000_12800fps_20221125_174400,20221125/front/n7000_n7000_20221125_175749,1,162,512
1390,591.5010779,20.32540922,20.87613103,21.02384351,0.001297586,2.020151772,597.8753695,0.008467191,0.008496578,20221125/bottom/n7000_n7000_12800fps_20221125_174934,20221125/front/n7000_n7000_20221125_180038,1,165,515
1390,592.1278899,20.35918842,20.91305854,21.06077265,0.003074688,0.017898916,0.111214377,0.007617077,0.007372031,20221125/bottom/n7000_n7000_12800fps_20221125_175656,20221125/front/n7000_n7000_20221125_181049,1,162,512
1330,592.7547019,20.39296796,20.94998646,20.98691478,0.001287606,1.832708907,488.2883904,0.007368882,0.007215844,20221125/bottom/n7000_n7000_12800fps_20221125_175932,20221125/front/n7000_n7000_20221125_181326,1,181,531
1330,593.381514,20.35918842,20.91305854,21.02384351,0.001398189,1.82267515,524.4338529,0.007256582,0.007009677,20221125/bottom/n7000_n7000_12800fps_20221125_180201,20221125/front/n7000_n7000_20221125_181556,1,190,540
