# P [mbar],T_surf [°C],T_res [°C],T_ext [°C],T_needle [°C],time_H,time_M,time_S
5.786514308922768350e+02,2.501453610356842105e+01,2.006382831030628466e+01,2.110241662597996992e+01,1.917711826243518658e+01,2.000000000000000000e+01,1.800000000000000000e+01,1.600000000000000000e+01
5.889938296675830998e+02,2.645678528541447605e+01,2.013766590588252825e+01,2.106862996198310611e+01,2.005518784654318765e+01,2.000000000000000000e+01,2.700000000000000000e+01,3.500000000000000000e+01
5.927547019495126506e+02,2.534730786544132286e+01,2.021150512233932517e+01,2.106862996198310611e+01,2.029163036122621833e+01,2.000000000000000000e+01,3.200000000000000000e+01,2.800000000000000000e+01
5.999630404898775851e+02,3.686674635039415193e+01,2.043303249805981636e+01,2.110241662597996992e+01,2.073078199080813988e+01,2.000000000000000000e+01,4.300000000000000000e+01,1.000000000000000000e+00
6.046641308422894099e+02,3.720069664265203357e+01,2.061764979086125038e+01,2.113620362945057707e+01,2.096727200673134917e+01,2.000000000000000000e+01,4.900000000000000000e+01,3.300000000000000000e+01
6.081115971007247936e+02,3.731202081234473411e+01,2.072842503115904478e+01,2.113620362945057707e+01,2.116999097240506700e+01,2.000000000000000000e+01,5.300000000000000000e+01,2.500000000000000000e+01
