t [s],D [m]
0,0.00150589254597354
7.8125e-05,0.00184043103868619
0.00015625,0.00211922443493646
0.000234375,0.00234226391519479
0.0003125,0.00258401042383149
0.000390625,0.00278845968251966
0.00046875,0.00295586987279412
0.000546875,0.00310455700709603
0.000625,0.00325324574094262
0.000703125,0.00340193586459957
0.00078125,0.00353217522968279
0.000859375,0.00364369022936863
0.0009375,0.00375520602937815
0.001015625,0.00388518643631823
0.00109375,0.00397823976115701
0.001171875,0.00407105453683416
0.00125,0.0041455166994825
0.001328125,0.00421986240681295
0.00140625,0.00429409770756474
0.001484375,0.00433138139320957
0.0015625,0.00440553158555257
0.001640625,0.00446138098968212
0.00171875,0.00451724741158826
0.001796875,0.00455442075995062
0.001875,0.00461030265382432
0.001953125,0.00466594107366215
0.00203125,0.00470323397749672
0.002109375,0.00474040660655908
0.0021875,0.00475887496059239
0.002265625,0.00477757929053935
0.00234375,0.00481463541335264
0.002421875,0.00485180909685194
0.0025,0.00485180909685194
0.002578125,0.00488909765946114
0.00265625,0.00488909765946114
0.002734375,0.00492615657589401
0.0028125,0.00492640205697773
0.002890625,0.00496344349102327
0.00296875,0.00496357401235612
0.003046875,0.00496357401235612
0.003125,0.00500074603021707
0.003203125,0.00500050419877447
0.00328125,0.00500061647911295
0.003359375,0.00500061647911295
0.0034375,0.00501933206214469
0.003515625,0.00503767806216396
0.00359375,0.00501920299076636
0.003671875,0.00501933206214469
0.00375,0.00501933206214469
0.003828125,0.00501933206214469
0.00390625,0.00503791810917751
0.003984375,0.00501920299076636
0.0040625,0.00501920299076636
0.004140625,0.00501920299076636
0.00421875,0.00501920299076636
0.004296875,0.00501947833902789
0.004375,0.00500074603021707
0.004453125,0.00498216001356368
0.00453125,0.0049820299791548
0.004609375,0.0049820299791548
0.0046875,0.00494485701485174
0.004765625,0.00492640205697773
0.00484375,0.00492627055077558
0.004921875,0.00488898281798304
0.005,0.00488923016550705
0.005078125,0.00488923016550705
0.00515625,0.00488909765946114
0.005234375,0.00485192481820465
0.0053125,0.00485205833941287
0.005390625,0.00481463541335264
0.00546875,0.00483333841670907
0.005546875,0.00481475202816555
0.005625,0.00479604858598836
0.005703125,0.00479616565272467
0.00578125,0.00477757929053935
0.005859375,0.00475887496059239
0.0059375,0.00475899294176491
0.006015625,0.00474040660655908
0.00609375,0.00472170137507634
0.006171875,0.00470323397749672
0.00625,0.00468452783038959
0.006328125,0.00470311459756879
0.00640625,0.0046660614046648
0.006484375,0.0046474751397569
0.0065625,0.0046474751397569
0.006640625,0.0046474751397569
0.00671875,0.00462866495336272
0.006796875,0.00461018086745462
0.006875,0.00459159415380865
0.006953125,0.00457300745126202
0.00703125,0.00457300745126202
0.007109375,0.0045731302275917
0.0071875,0.00455431644572432
0.007265625,0.00453572933832359
0.00734375,0.00449878556014578
0.007421875,0.0044986607548204
0.0075,0.00449855514760985
0.007578125,0.00446175852358035
0.00765625,0.00446138098968212
0.007734375,0.00446148747683676
0.0078125,0.00442420686536685
0.007890625,0.00442431424725158
0.00796875,0.00438714106729516
0.008046875,0.00438703277551849
0.008125,0.00436855449632363
0.008203125,0.00436844574379438
0.00828125,0.00436835676243846
0.008359375,0.00433118196224015
0.0084375,0.00431279486140171
0.008515625,0.00431268470278767
0.00859375,0.00429433909026778
0.008671875,0.00427551072176526
0.00875,0.00425692374551269
0.008828125,0.00423833677893261
0.00890625,0.00423833677893261
0.008984375,0.00421999545753881
0.0090625,0.00421965770519666
0.009140625,0.00420116287530348
0.00921875,0.00418257593851689
0.009296875,0.00416398901192783
