t [s],D [m]
0,0.00137554924564737
7.8125e-05,0.00178467340134475
0.00015625,0.00223105349402898
0.000234375,0.00254699078812654
0.0003125,0.00297461538642773
0.000390625,0.0033091479549229
0.00046875,0.00353233418328442
0.000546875,0.00377394084589446
0.000625,0.00392248108068175
0.000703125,0.00408975757667146
0.00078125,0.00425731941046883
0.000859375,0.00438741670702913
0.0009375,0.00449892956198827
0.001015625,0.00459201741459644
0.00109375,0.00468531143289077
0.001171875,0.00475912907025266
0.00125,0.00483362435279035
0.001328125,0.00492655109309656
0.00140625,0.00498230738179103
0.001484375,0.00503791810917751
0.0015625,0.00509415962272324
0.001640625,0.00513115159090854
0.00171875,0.00514991275036233
0.001796875,0.00520533423944683
0.001875,0.00520549188344336
0.001953125,0.0052425056313171
0.00203125,0.00527983251458936
0.002109375,0.00527983251458936
0.0021875,0.00531717353126936
0.002265625,0.00531684861499895
0.00234375,0.00533575818606365
0.002421875,0.00533558820164818
0.0025,0.00535417347024208
0.002578125,0.00535417347024208
0.00265625,0.00537292756672394
0.002734375,0.00537275875828089
0.0028125,0.00537292756672394
0.002890625,0.00537292756672394
0.00296875,0.00537275875828089
0.003046875,0.00535434286463074
0.003125,0.00537292756672394
0.003203125,0.00537311244607637
0.00328125,0.00533575818606365
0.003359375,0.00533558820164818
0.0034375,0.00533575818606365
0.003515625,0.00533594435325782
0.00359375,0.00529858890049801
0.003671875,0.00529858890049801
0.00375,0.00529858890049801
0.003828125,0.00526124732584302
0.00390625,0.0052614197120424
0.003984375,0.00524302462154485
0.0040625,0.0052428351548763
0.004140625,0.00520549188344336
0.00421875,0.00518674856913124
0.004296875,0.00516832169393633
0.004375,0.00516802084766297
0.004453125,0.00516816291614105
0.00453125,0.00513115159090854
0.004609375,0.00513132834765631
0.0046875,0.0051125665724138
0.004765625,0.00507523491773281
0.00484375,0.00507523491773281
0.004921875,0.00505664937273124
0.005,0.00503806384642704
0.005078125,0.00503806384642704
0.00515625,0.00500089285074458
0.005234375,0.00498216001356368
0.0053125,0.00498216001356368
0.005390625,0.00494530244120801
0.00546875,0.00490796570366626
0.005546875,0.00488938033468461
0.005625,0.00488938033468461
0.005703125,0.00487064424419434
0.00578125,0.00485237877532244
0.005859375,0.00481503906798029
0.0059375,0.00479630072617758
0.006015625,0.00477804031116105
0.00609375,0.00475912907025266
0.006171875,0.00475912907025266
0.00625,0.00474054326876833
0.006328125,0.00474087124199745
0.00640625,0.00470323397749672
0.006484375,0.00470323397749672
0.0065625,0.00468494269509902
0.006640625,0.0046663575908362
0.00671875,0.00464777251036565
0.006796875,0.00464794906516282
0.006875,0.00462918745397394
0.006953125,0.00461078040005692
0.00703125,0.00457327188849172
0.007109375,0.00459219611299367
0.0071875,0.0045731302275917
0.007265625,0.0045731302275917
0.00734375,0.00455454403731967
0.007421875,0.0044433382808636
0.0075,0.00455468627629169
0.007578125,0.00451767763792062
0.00765625,0.00442458757119848
0.007734375,0.00449878556014578
0.0078125,0.00438741670702913
0.007890625,0.0044433382808636
0.00796875,0.0044433382808636
0.008046875,0.00448034403216487
0.008125,0.00442458757119848
0.008203125,0.00442458757119848
0.00828125,0.00442458757119848
0.008359375,0.00442444114975533
0.0084375,0.00440616876632933
0.008515625,0.00442458757119848
0.00859375,0.00436883130872778
0.008671875,0.00438741670702913
0.00875,0.00435024593333353
0.008828125,0.00433183007932089
0.00890625,0.00433151101841575
0.008984375,0.00431307525245081
0.0090625,0.00433201951061471
0.009140625,0.00429466091276763
0.00921875,0.00429448994756742
0.009296875,0.00427607637507459
0.009375,0.0042950631569826
0.009453125,0.00425749186830123
0.00953125,0.00427575315377524
0.009609375,0.00425731941046883
0.0096875,0.00423890739285423
0.009765625,0.00423890739285423
0.00984375,0.00425731941046883
0.009921875,0.00422014897239468
0.01,0.00425731941046883
0.010078125,0.00422014897239468
0.01015625,0.00423910097655522
0.010234375,0.00420173853760197
0.0103125,0.00420140959737531
0.010390625,0.00418297863598481
0.01046875,0.00420193383367787
0.010546875,0.00418297863598481
0.010625,0.00416439350675469
0.010703125,0.00418268952377948
