P_mbar,Tsurf_C,Tres_C,Text_C,Tneedle_C,H_mm,time_H,time_M,time_S
1030,22,22,22,22,1099,14,33,0
1030,22,22,22,22,1099,14,37,0
1030,22,22,22,22,1099,14,40,0
1030,22,22,22,22,1111,14,44,0
1030,22,22,22,22,1111,14,47,0
1030,22,22,22,22,1111,14,48,0
1030,22,22,22,22,1166,14,58,0
1030,22,22,22,22,1166,15,2,0
1030,22,22,22,22,1166,15,4,0
1030,22,22,22,22,1337,15,7,0
1030,22,22,22,22,1337,15,9,0
1030,22,22,22,22,1337,15,11,0
1030,22,22,22,22,1585,15,14,0
1030,22,22,22,22,1585,15,26,0
1030,22,22,22,22,1585,15,28,0
